Title,English Title,URL,Score,Genre,Season,Studio,Description
Yumemiru Danshi wa Genjitsushugisha,The Dreaming Boy is a Realist,https://myanimelist.net/anime/53632/Yumemiru_Danshi_wa_Genjitsushugisha,6.61,"Comedy,Romance,School",Summer 2023,Studio Gokumi,"Wataru Sajou, who is deeply in love with his beautiful classmate Aika Natsukawa, approaches her without getting discouraged while having dreams about their mutual love. However, one day, he woke up thinking, ""I am not really fit to be together with someone as good as her, huh..."" Upon realizing this, Wataru started keeping an appropriate distance from her, much to Aika's surprise. ""Could it be that he hates me now...?"""
Hataraku Maou-sama!! 2nd Season,The Devil is a Part-Timer! Season 2 (Sequel),https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,6.78,"Comedy,Fantasy,Mythology,Romantic Subtext,Workplace",Summer 2023,Studio 3Hz,Second Season of 
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,"Reborn as a Vending Machine, I Now Wander the Dungeon",https://myanimelist.net/anime/52619/Jidou_Hanbaiki_ni_Umarekawatta_Ore_wa_Meikyuu_wo_Samayou,6.46,"Comedy,Fantasy,Isekai,Reincarnation",Summer 2023,Studio Gokumi,"A vending machine fanatic meets his demise when he is, quite ironically, crushed by a vending machine. To his dismay, he finds himself reincarnated as a vending machine in another world. Having reemerged within a forest inhabited by frogmen and other monsters—and supplied with only two products—Boxxo the Vending Machine requires coins to keep itself stocked, powered, and upgraded with new skills."
Nanatsu no Maken ga Shihai suru,Reign of the Seven Spellblades,https://myanimelist.net/anime/50582/Nanatsu_no_Maken_ga_Shihai_suru,6.72,"Action,Fantasy,School",Summer 2023,J.C.Staff,"In the world of magic, there exist deadly irreversible techniques commonly known as spellblades. These sparse and elusive spells, along with their casters, are shrouded in mystery and only their absolute lethality is known to the masses."
Jujutsu Kaisen 2nd Season,,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8.8,"Action,Fantasy,School,Shounen",Summer 2023,MAPPA,Second season of 
Undead Girl Murder Farce,Undead Murder Farce,https://myanimelist.net/anime/54790/Undead_Girl_Murder_Farce,7.82,"Fantasy,Mystery,Detective,Historical,Vampire",Summer 2023,Lapin Track,"In 19th-century France, the wife of vampire noble Jean Duchet Godard is murdered in her own home. With the local human authorities unwilling to properly investigate the case, Godard hires a pair of private detectives known to specialize in the supernatural: Tsugaru Shinuchi, a man with a mysterious birdcage; and his partner, Aya Rindou. This enigmatic duo has come from faraway Japan for one purpose—to track down the man who stole both Aya's body and Tsugaru's humanity."
"Jitsu wa Ore, Saikyou deshita?",Am I Actually the Strongest?,https://myanimelist.net/anime/52969/Jitsu_wa_Ore_Saikyou_deshita,6.69,"Adventure,Fantasy,Isekai,Reincarnation",Summer 2023,Staple Entertainment,"To be reincarnated into another world with the promise of a ""cheat"" power is one thing... but to be reborn as a baby, and then left for dead after your royal parents think you're powerless?? That's another thing entirely! Now the newly-born Reinhart—or Hart to his new friends—must find his way through a dangerous world...but luckily he's got magic that's quite literally off the charts! "
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),,https://myanimelist.net/anime/50613/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_2023,7.81,"Action,Adventure,Historical,Samurai,Shounen",Summer 2023,LIDENFILMS,"Ten years have passed since the end of Bakumatsu, an era of war that saw the uprising of citizens against the Tokugawa shogunate. The revolutionaries wanted to create a time of peace, and a thriving country free from oppression. The new age of Meiji has come, but peace has not yet been achieved. Swords are banned but people are still murdered in the streets. Orphans of war veterans are left with nowhere to go, while the government seems content to just line their pockets with money."
Kimi ni Aeta!,,https://myanimelist.net/anime/56064/Kimi_ni_Aeta,6.75,Kids,,CoMix Wave Films,Promotional video made in celebration of the 2023 Pokémon World Championship.
"Kanojo, Okarishimasu 3rd Season",Rent-a-Girlfriend Season 3,https://myanimelist.net/anime/53050/Kanojo_Okarishimasu_3rd_Season,7.09,"Comedy,Romance,Shounen",Summer 2023,TMS Entertainment,Third season of 
Kidou Senshi Gundam: Suisei no Majo Season 2 Recap,Mobile Suit Gundam: The Witch from Mercury Season 2 Recap,https://myanimelist.net/anime/55283/Kidou_Senshi_Gundam__Suisei_no_Majo_Season_2_Recap,6.16,"Action,Sci-Fi,Mecha,School,Space",,Sunrise,Recap of the first five episodes of 
Liar Liar,,https://myanimelist.net/anime/48633/Liar_Liar,6.68,"Suspense,Psychological,School,Strategy Game",Summer 2023,Geek Toys,"At Academy Island, everything is settled through ""Games"" waged for a certain number of stars, with the strongest student being granted the ranking of Seven Stars. Hiroto, a transfer student, unexpectedly beats the strongest empress and becomes the pseudo-strongest in the school! A mind game of lies and bluffs begins! "
Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,8.68,"Action,Mystery,Supernatural,Adult Cast,Organized Crime,Super Power,Seinen",Summer 2023,Bones,Fifth Season of 
Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season,8.43,"Action,Comedy,Fantasy,Isekai,Reincarnation",Summer 2023,Nexus,"Everything has been going according to plan, but the hour of awakening draws near. Cid Kageno and Shadow Garden investigate the Lawless City, a cesspool where the red moon hangs low in the sky and three powerful monarchs rule the streets. The true draw for Cid, however, is one who can draw blood–the Blood Queen, a vampire who has slumbered in her coffin for eons. Her awakening approaches, and Cid could finally face a day of reckoning."
Samurai Mac,,https://myanimelist.net/anime/54024/Samurai_Mac,5.81,"Gourmet,Suspense,Adult Cast,Samurai,Survival",,,"Commercial for the Samurai Mac burger in McDonald's Japan, as a collaboration with manga artist Tetsuo Hara."
Suki na Ko ga Megane wo Wasureta,The Girl I Like Forgot Her Glasses,https://myanimelist.net/anime/54234/Suki_na_Ko_ga_Megane_wo_Wasureta,6.99,"Comedy,Romantic Subtext,School,Shounen",Summer 2023,GoHands,"As the deskmate of Ai Mie, Kaede Komura always has his attention fixed on her. Attracted by her cute charms, all he wishes for is that she would look at him with those beautiful eyes beneath her glasses. But just a few days after making her acquaintance, Kaede notices something different about Ai: her eyes are squinting and her glasses are missing. Nonetheless, he still finds her adorable!"
Meitantei Conan: Keisatsu Gakkou-hen Wild Police Story - Case. Furuya Rei,Detective Conan: Police Academy Arc Wild Police Story - Case. Furuya Rei,https://myanimelist.net/anime/54864/Meitantei_Conan__Keisatsu_Gakkou-hen_Wild_Police_Story_-_Case_Furuya_Rei,6.62,"Adventure,Comedy,Mystery,Detective,Shounen",,,Final epsiode of 
Yomawari Neko,,https://myanimelist.net/anime/53655/Yomawari_Neko,N/A,"Slice of Life,Anthropomorphic",Winter 2023,Shogakukan Music & Digital Entertainment,The story of a cat who's drawn to the scent of tears and goes to those who are crying in an attempt to comfort or encourage them.
Buddy Daddies Intermission: Cherry-Pick,,https://myanimelist.net/anime/54656/Buddy_Daddies_Intermission__Cherry-Pick,6.56,"Action,Comedy,Childcare,Organized Crime",,P.A. Works,Recap of the first 8 episodes of 
UniteUp! Furikaeranai to,UniteUp! Let's Look Back & Unite,https://myanimelist.net/anime/54755/UniteUp_Furikaeranai_to,6.13,"Idols (Male),Music",,CloverWorks,Recap of the first 8 episodes of 
3-nen Z-gumi Ginpachi-sensei Announcement Special,,https://myanimelist.net/anime/54761/3-nen_Z-gumi_Ginpachi-sensei_Announcement_Special,7.49,Comedy,,Bandai Namco Pictures,Announcement for 
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,My Life as Inukai-san’s Dog. OVA,https://myanimelist.net/anime/54225/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta_Specials,5.33,"Comedy,Ecchi",,Quad,Unaired episodes included in the Blu-ray box volumes.
Ayakashi Triangle Recap,Ayakashi Triangle Special Recap,https://myanimelist.net/anime/54775/Ayakashi_Triangle_Recap,5.62,"Action,Comedy,Romance,Supernatural,Ecchi,Magical Sex Shift,Mythology,Shounen",,Connect,Recap of the first 6 episodes of 
Nijiyon Animation Specials,,https://myanimelist.net/anime/54117/Nijiyon_Animation_Specials,6.44,"Comedy,CGDCT,Idols (Female)",,Sunrise,Three un-aired episodes bundled on the 
Evangelion: 3.0 (-46h),,https://myanimelist.net/anime/53246/Evangelion__30_-46h,6.89,,,Khara,Unaired footage included on the BD release of 
Art College 1994,,https://myanimelist.net/anime/54662/Art_College_1994,N/A,"Slice of Life,Historical,School,Visual Arts",,,"In the 1990s, a group of students on the campus of the Chinese Southern Academy of Arts are pursuing their studies and preparing to face the world. China is opening up to the West and the students’ lives are a tangle of love stories and friendships, artistic research, ideals and ambitions brought about by new influences. Caught between tradition and modernity, they have to decide who they want to become."
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: The Final Season - Final Chapters,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,9.04,"Action,Drama,Suspense,Gore,Military,Survival,Shounen",,MAPPA,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process."
Diamond wo Sagase! Usotsuki Karasu to Haru no Seiza-tachi,,https://myanimelist.net/anime/55271/Diamond_wo_Sagase_Usotsuki_Karasu_to_Haru_no_Seiza-tachi,N/A,"Adventure,Fantasy,Sci-Fi,Anthropomorphic,Space,Kids",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Planetarium Chibi Maruko-chan: Minamijuujisei ni Miserarete,,https://myanimelist.net/anime/54832/Planetarium_Chibi_Maruko-chan__Minamijuujisei_ni_Miserarete,N/A,"Comedy,Sci-Fi,Space,Kids",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Youkai Watch ♪ Movie 8: Jibanyan vs. Komasan - Monge Daikessen da Nyan,,https://myanimelist.net/anime/53634/Youkai_Watch_%E2%99%AA_Movie_8__Jibanyan_vs_Komasan_-_Monge_Daikessen_da_Nyan,N/A,"Comedy,Supernatural,Mythology,Kids",,,"One day, a mysterious event suddenly occurred. For some reason, Jibanyan's favorite sweet: Chocobars, and Komasan's favorite: soft-serve ice cream, began to disappear from this world one after another. Why? A mysterious Yo-kai appears and tells them, ""The way to bring Chocobars and soft-serve ice cream back to this world is for Jibanyan and Komasan to fight."" Meanwhile, Hovernyan and Komasan's sister, Komami, who is a spy, discover that there is a Yo-kai behind this incident. There was a great conspiracy hidden. In addition, the unprecedented crisis surrounding Lord Emma, the strongest being in the Yo-kai World, is revealed! Where is Jibanyan VS Komasan? And who is the mastermind behind the incident?"
Aikatsu! 10th Story: Mirai e no Starway (2023),,https://myanimelist.net/anime/53499/Aikatsu_10th_Story__Mirai_e_no_Starway_2023,7.01,"Idols (Female),Music",,Bandai Namco Pictures,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
"Yamanaka Sadao ni Sasageru Manga Eiga ""Nezumikozou Jirokichi""","Manga Cinema dedicated to Sadao Yamanaka ""Nezumikozo Jirokichi""",https://myanimelist.net/anime/54602/Yamanaka_Sadao_ni_Sasageru_Manga_Eiga_Nezumikozou_Jirokichi,N/A,Historical,,Studio M2,The short movie will be a silent anime depicting behind-the-scene stories of the 
Soukyuu no Fafner: Dead Aggressor - Behind the Line,,https://myanimelist.net/anime/50675/Soukyuu_no_Fafner__Dead_Aggressor_-_Behind_the_Line,N/A,"Action,Sci-Fi,Mecha,Military",,Production I.G,Taking place after the events of 
Doraemon Movie 42: Nobita to Sora no Utopia,,https://myanimelist.net/anime/52318/Doraemon_Movie_42__Nobita_to_Sora_no_Utopia,6.7,"Adventure,Comedy,Sci-Fi",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Kyouki Sanmyaku: Naked Peak,Naked Peak: Climb the Mountains of Madness,https://myanimelist.net/anime/53849/Kyouki_Sanmyaku__Naked_Peak,6.8,,,G-angle,A flight to Antarctica turns into a frantic rescue mission after the plane mysteriously vanishes. Efforts to locate the missing passengers lead rescuers to discover the plane's course set for a never-before-seen mountain range - the largest on Earth.
Shenhai,Deep Sea,https://myanimelist.net/anime/44212/Shenhai,N/A,"Adventure,Fantasy",,October Media,The film 
Argonavis Movie: Axia,,https://myanimelist.net/anime/45731/Argonavis_Movie__Axia,N/A,"Drama,Music",,SANZIGEN, 
Detective Conan: Haibara Ai Monogatari - Kurogane no Mystery Train,,https://myanimelist.net/anime/53780/Detective_Conan__Haibara_Ai_Monogatari_-_Kurogane_no_Mystery_Train,7.17,"Mystery,Detective,Shounen",,TMS Entertainment,The movie will focus on Ai Haibara's past and will reconstruct the 
Kin no Kuni Mizu no Kuni,Gold Kingdom and Water Kingdom,https://myanimelist.net/anime/52186/Kin_no_Kuni_Mizu_no_Kuni,N/A,"Fantasy,Romance,Josei",,Madhouse,"Once upon a time, there were two rival kingdoms that did not get along. Every day, they argued over insignificant matters. When a dispute over removing dog waste ultimately turned into a war, God swiftly intervened and directed the two nation's leaders to exchange the most beautiful girl and the most intelligent young man for bride and bridegroom, respectively."
Rakudai Majo: Fuuka to Yami no Majo,,https://myanimelist.net/anime/51404/Rakudai_Majo__Fuuka_to_Yami_no_Majo,N/A,Fantasy,,Production I.G,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Hirano to Kagiura,,https://myanimelist.net/anime/52364/Hirano_to_Kagiura,6.9,"Boys Love,School,Josei",,Studio Deen,"The diligent high school freshman Akira Kagiura and his senior Taiga Hirano have been roommates for half a year. Kagiura used to be anxious about his future dormitory life, but thanks to his energetic senior looking out for him, he has come to feel content and at ease. As he continues to rely on Hirano more and more each day, he develops strong feelings for his selfless friend. In the six months they have left as roommates, Kagiura is determined to put a name to the relationship he cherishes so dearly before it comes to an end. "
SSSS.Dynazenon Movie,,https://myanimelist.net/anime/53851/SSSSDynazenon_Movie,N/A,"Action,Sci-Fi,Mecha",,Trigger,Compilation film of 
Sasaki to Miyano Movie: Sotsugyou-hen,,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen,7.54,"Boys Love,Otaku Culture,School",,Studio Deen,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
SSSS.Gridman Movie,,https://myanimelist.net/anime/53850/SSSSGridman_Movie,6.76,"Action,Sci-Fi,Mecha",,Trigger,Compilation film of 
Blue Giant,,https://myanimelist.net/anime/50183/Blue_Giant,7.59,"Music,Seinen",,Nut,"""I will definitely become the world's best Jazz player!"""
Aoharu Snatch,,https://myanimelist.net/anime/52752/Aoharu_Snatch,5.77,Hentai,,Blue bread,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Gridman Universe,,https://myanimelist.net/anime/50587/Gridman_Universe,7.32,"Action,Sci-Fi,Mecha",,Trigger,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Yari Agari,,https://myanimelist.net/anime/53506/Yari_Agari,6.13,Hentai,,Nur,"Ichika, Shinji and Serina, best friends since childhood, they were always together until one strange incident caused their friendship to fall into oblivion. At the school where they all attended, a collective, headed by Serina, was formed with a single purpose - to bully Ichika. Ichika, still believing in their past friendship, hoped that their former relationship could be restored, so she endured all the humiliation and insults from her former friends, but the bullying went on and on... Ichika, whose patience had finally come to an end, decided to find a way to make her situation better. Soon, the young girl receives a video recording from the camera that was installed in Serina's room, from an unknown person. How is she going to use this gift of fate now? Will she come up with a plan to rekindle her friendship or to take revenge for all she has had to endure all this time..."
Koumi-jima Shuu 7 de Umeru Mesu-tachi,,https://myanimelist.net/anime/55691/Koumi-jima_Shuu_7_de_Umeru_Mesu-tachi,6.19,"Hentai,Harem",,Seven,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
